K,n,rho,error.osc,error.ssc.ase,error.louvain,error.ssc.A
3,2048,0.1,0.0556640625,0.12353515625,0.0546875,0.0419921875
3,2048,0.1,0.0751953125,0.12255859375,0.068359375,0.0478515625
3,2048,0.1,0.07080078125,0.1455078125,0.0703125,0.0556640625
3,2048,0.1,0.056640625,0.095703125,0.064453125,0.04248046875
3,2048,0.1,0.07275390625,0.125,0.0576171875,0.046875
3,2048,0.1,0.07763671875,0.13037109375,0.07666015625,0.05224609375
3,2048,0.1,0.06884765625,0.1171875,0.068359375,0.0517578125
3,2048,0.1,0.06640625,0.10595703125,0.0693359375,0.0556640625
3,2048,0.1,0.0703125,0.130859375,0.05908203125,0.04736328125
3,2048,0.1,0.0654296875,0.13525390625,0.06103515625,0.04833984375
3,2048,0.1,0.0712890625,0.11962890625,0.06689453125,0.0419921875
3,2048,0.1,0.37744140625,0.115234375,0.0703125,0.05419921875
3,2048,0.1,0.0625,0.12744140625,0.0625,0.0439453125
3,2048,0.1,0.09375,0.126953125,0.080078125,0.060546875
3,2048,0.1,0.091796875,0.12158203125,0.07373046875,0.0625
3,2048,0.1,0.080078125,0.1103515625,0.07421875,0.05908203125
3,2048,0.1,0.06982421875,0.1259765625,0.0673828125,0.052734375
3,2048,0.1,0.07568359375,0.13671875,0.06884765625,0.0546875
3,2048,0.1,0.0732421875,0.12158203125,0.07080078125,0.0537109375
3,2048,0.1,0.06689453125,0.10986328125,0.05712890625,0.04443359375
3,2048,0.1,0.08056640625,0.12744140625,0.07421875,0.056640625
3,2048,0.1,0.0712890625,0.123046875,0.07373046875,0.05224609375
3,2048,0.1,0.064453125,0.11376953125,0.06298828125,0.0458984375
3,2048,0.1,0.0625,0.11962890625,0.0673828125,0.05078125
3,2048,0.1,0.07373046875,0.12939453125,0.0703125,0.0595703125
3,2048,0.1,0.0712890625,0.1064453125,0.068359375,0.05078125
3,2048,0.1,0.08056640625,0.1435546875,0.078125,0.05908203125
3,2048,0.1,0.0791015625,0.1181640625,0.064453125,0.05419921875
3,2048,0.1,0.0830078125,0.1142578125,0.06787109375,0.05419921875
3,2048,0.1,0.0673828125,0.11669921875,0.06884765625,0.05517578125
3,2048,0.1,0.068359375,0.11669921875,0.06787109375,0.05078125
3,2048,0.1,0.0693359375,0.1337890625,0.06884765625,0.05224609375
3,2048,0.1,0.06591796875,0.146484375,0.07275390625,0.052734375
3,2048,0.1,0.07763671875,0.0927734375,0.06494140625,0.04833984375
3,2048,0.1,0.0751953125,0.11865234375,0.0771484375,0.056640625
3,2048,0.1,0.06396484375,0.11376953125,0.064453125,0.0458984375
3,2048,0.1,0.09423828125,0.10009765625,0.06494140625,0.05029296875
3,2048,0.1,0.07568359375,0.1357421875,0.07080078125,0.05419921875
3,2048,0.1,0.08349609375,0.13720703125,0.080078125,0.05419921875
3,2048,0.1,0.05859375,0.1044921875,0.05859375,0.03955078125
3,2048,0.1,0.07470703125,0.15234375,0.07421875,0.05419921875
3,2048,0.1,0.076171875,0.1103515625,0.0703125,0.0546875
3,2048,0.1,0.0693359375,0.11962890625,0.06103515625,0.04443359375
3,2048,0.1,0.07080078125,0.09521484375,0.0615234375,0.05126953125
3,2048,0.1,0.05615234375,0.0908203125,0.0595703125,0.03955078125
3,2048,0.1,0.076171875,0.15625,0.07421875,0.05615234375
3,2048,0.1,0.0693359375,0.12841796875,0.072265625,0.0478515625
3,2048,0.1,0.0732421875,0.11279296875,0.07861328125,0.05810546875
3,2048,0.1,0.0712890625,0.1103515625,0.0703125,0.05029296875
3,2048,0.1,0.0732421875,0.1162109375,0.068359375,0.048828125
3,2048,0.30000000000000004,0.02685546875,0.046875,0.05859375,0.029296875
3,2048,0.30000000000000004,0.02294921875,0.13037109375,0.0654296875,0.0322265625
3,2048,0.30000000000000004,0.0478515625,0.0537109375,0.05419921875,0.0322265625
3,2048,0.30000000000000004,0.046875,0.05322265625,0.05419921875,0.02783203125
3,2048,0.30000000000000004,0.021484375,0.044921875,0.05615234375,0.0146484375
3,2048,0.30000000000000004,0.02490234375,0.0380859375,0.05419921875,0.02587890625
3,2048,0.30000000000000004,0.03076171875,0.0390625,0.0654296875,0.03271484375
3,2048,0.30000000000000004,0.03857421875,0.1015625,0.0615234375,0.02880859375
3,2048,0.30000000000000004,0.04443359375,0.0986328125,0.0634765625,0.0322265625
3,2048,0.30000000000000004,0.04248046875,0.033203125,0.060546875,0.03125
3,2048,0.30000000000000004,0.0498046875,0.0634765625,0.0576171875,0.02490234375
3,2048,0.30000000000000004,0.04248046875,0.0654296875,0.0595703125,0.02587890625
3,2048,0.30000000000000004,0.04150390625,0.0283203125,0.05615234375,0.02197265625
3,2048,0.30000000000000004,0.01953125,0.05908203125,0.05029296875,0.0185546875
3,2048,0.30000000000000004,0.03173828125,0.046875,0.056640625,0.021484375
3,2048,0.30000000000000004,0.02734375,0.05126953125,0.052734375,0.02392578125
3,2048,0.30000000000000004,0.0107421875,0.0654296875,0.05810546875,0.02099609375
3,2048,0.30000000000000004,0.0439453125,0.0390625,0.0615234375,0.02197265625
3,2048,0.30000000000000004,0.02685546875,0.04541015625,0.05322265625,0.015625
3,2048,0.30000000000000004,0.04296875,0.0849609375,0.048828125,0.01904296875
3,2048,0.30000000000000004,0.04833984375,0.07080078125,0.06005859375,0.021484375
3,2048,0.30000000000000004,0.0263671875,0.12744140625,0.05517578125,0.02587890625
3,2048,0.30000000000000004,0.09375,0.0751953125,0.05810546875,0.017578125
3,2048,0.30000000000000004,0.04931640625,0.0283203125,0.05517578125,0.02587890625
3,2048,0.30000000000000004,0.04052734375,0.03369140625,0.068359375,0.025390625
3,2048,0.30000000000000004,0.02490234375,0.05810546875,0.0615234375,0.03759765625
3,2048,0.30000000000000004,0.01904296875,0.08056640625,0.04931640625,0.0234375
3,2048,0.30000000000000004,0.03369140625,0.0478515625,0.0537109375,0.02783203125
3,2048,0.30000000000000004,0.03369140625,0.04296875,0.05517578125,0.0234375
3,2048,0.30000000000000004,0.03173828125,0.072265625,0.0537109375,0.02783203125
3,2048,0.30000000000000004,0.03369140625,0.05810546875,0.05615234375,0.0166015625
3,2048,0.30000000000000004,0.037109375,0.0498046875,0.0478515625,0.025390625
3,2048,0.30000000000000004,0.0283203125,0.07275390625,0.05029296875,0.025390625
3,2048,0.30000000000000004,0.06103515625,0.02978515625,0.06298828125,0.0205078125
3,2048,0.30000000000000004,0.0244140625,0.06494140625,0.060546875,0.0224609375
3,2048,0.30000000000000004,0.05908203125,0.076171875,0.05615234375,0.02490234375
3,2048,0.30000000000000004,0.02197265625,0.07958984375,0.05908203125,0.0322265625
3,2048,0.30000000000000004,0.0263671875,0.11328125,0.05078125,0.0244140625
3,2048,0.30000000000000004,0.03125,0.01904296875,0.0546875,0.029296875
3,2048,0.30000000000000004,0.0341796875,0.017578125,0.0556640625,0.02587890625
3,2048,0.30000000000000004,0.02880859375,0.06005859375,0.05615234375,0.02880859375
3,2048,0.30000000000000004,0.02490234375,0.10107421875,0.05712890625,0.03076171875
3,2048,0.30000000000000004,0.021484375,0.115234375,0.05419921875,0.017578125
3,2048,0.30000000000000004,0.029296875,0.0546875,0.0576171875,0.0283203125
3,2048,0.30000000000000004,0.025390625,0.1015625,0.0654296875,0.02294921875
3,2048,0.30000000000000004,0.029296875,0.0517578125,0.05712890625,0.03271484375
3,2048,0.30000000000000004,0.03759765625,0.1025390625,0.0615234375,0.02490234375
3,2048,0.30000000000000004,0.046875,0.10546875,0.05712890625,0.02783203125
3,2048,0.30000000000000004,0.044921875,0.03662109375,0.05810546875,0.0185546875
3,2048,0.30000000000000004,0.04150390625,0.04833984375,0.06005859375,0.02783203125
3,2048,0.5,0.00537109375,0.02001953125,0.0595703125,0.01025390625
3,2048,0.5,0.00732421875,0.01904296875,0.05859375,0.01416015625
3,2048,0.5,0.00634765625,0.03125,0.05810546875,0.01318359375
3,2048,0.5,0.00732421875,0.0244140625,0.05517578125,0.01220703125
3,2048,0.5,0.009765625,0.00732421875,0.0576171875,0.01416015625
3,2048,0.5,0.01220703125,0.01708984375,0.0546875,0.0185546875
3,2048,0.5,0.00927734375,0.01025390625,0.05322265625,0.01416015625
3,2048,0.5,0.01953125,0.02392578125,0.0537109375,0.02197265625
3,2048,0.5,0.0068359375,0.0205078125,0.05859375,0.01513671875
3,2048,0.5,0.00732421875,0.0107421875,0.060546875,0.01904296875
3,2048,0.5,0.0078125,0.0244140625,0.05224609375,0.015625
3,2048,0.5,0.02099609375,0.3056640625,0.05126953125,0.0234375
3,2048,0.5,0.0068359375,0.01025390625,0.05810546875,0.01806640625
3,2048,0.5,0.0078125,0.00341796875,0.052734375,0.02099609375
3,2048,0.5,0.00830078125,0.00732421875,0.05615234375,0.015625
3,2048,0.5,0.01171875,0.01904296875,0.05126953125,0.02001953125
3,2048,0.5,0.0107421875,0.0146484375,0.046875,0.01708984375
3,2048,0.5,0.01220703125,0.0302734375,0.048828125,0.009765625
3,2048,0.5,0.00927734375,0.025390625,0.05224609375,0.02392578125
3,2048,0.5,0.00732421875,0.0205078125,0.06005859375,0.01025390625
3,2048,0.5,0.009765625,0.00732421875,0.06103515625,0.0205078125
3,2048,0.5,0.00732421875,0.0205078125,0.05419921875,0.0146484375
3,2048,0.5,0.00830078125,0.01904296875,0.0537109375,0.0068359375
3,2048,0.5,0.0068359375,0.0224609375,0.05859375,0.01416015625
3,2048,0.5,0.005859375,0.0048828125,0.06298828125,0.02490234375
3,2048,0.5,0.00830078125,0.0087890625,0.0478515625,0.01416015625
3,2048,0.5,0.00732421875,0.01904296875,0.056640625,0.0166015625
3,2048,0.5,0.00634765625,0.013671875,0.0517578125,0.0107421875
3,2048,0.5,0.00537109375,0.24609375,0.04931640625,0.01123046875
3,2048,0.5,0.0087890625,0.0126953125,0.05322265625,0.01904296875
3,2048,0.5,0.01611328125,0.02001953125,0.0546875,0.0234375
3,2048,0.5,0.005859375,0.01904296875,0.0546875,0.01806640625
3,2048,0.5,0.01611328125,0.01318359375,0.05908203125,0.017578125
3,2048,0.5,0.00439453125,0.0087890625,0.05224609375,0.01953125
3,2048,0.5,0.005859375,0.3232421875,0.05712890625,0.02001953125
3,2048,0.5,0.0048828125,0.015625,0.05712890625,0.02099609375
3,2048,0.5,0.00830078125,0.01416015625,0.0546875,0.0166015625
3,2048,0.5,0.00537109375,0.00634765625,0.0595703125,0.02490234375
3,2048,0.5,0.00927734375,0.01220703125,0.064453125,0.009765625
3,2048,0.5,0.01513671875,0.0146484375,0.05322265625,0.015625
3,2048,0.5,0.00732421875,0.2705078125,0.04833984375,0.01806640625
3,2048,0.5,0.00732421875,0.013671875,0.05029296875,0.02197265625
3,2048,0.5,0.0087890625,0.12939453125,0.05126953125,0.01220703125
3,2048,0.5,0.01220703125,0.0361328125,0.0595703125,0.02001953125
3,2048,0.5,0.01904296875,0.02392578125,0.05712890625,0.015625
3,2048,0.5,0.0048828125,0.0126953125,0.056640625,0.02294921875
3,2048,0.5,0.01025390625,0.02392578125,0.05419921875,0.013671875
3,2048,0.5,0.0068359375,0.01416015625,0.05615234375,0.01220703125
3,2048,0.5,0.00537109375,0.01708984375,0.05419921875,0.017578125
3,2048,0.5,0.00830078125,0.0048828125,0.05224609375,0.02197265625
3,2048,0.7000000000000001,0.00244140625,0.00244140625,0.05419921875,0.01171875
3,2048,0.7000000000000001,0.001953125,0.00341796875,0.0537109375,0.0087890625
3,2048,0.7000000000000001,0.001953125,0.0087890625,0.0498046875,0.0087890625
3,2048,0.7000000000000001,0.00341796875,0.0107421875,0.0498046875,0.0146484375
3,2048,0.7000000000000001,0.00439453125,0.0048828125,0.0546875,0.0126953125
3,2048,0.7000000000000001,0.001953125,0.00537109375,0.05615234375,0.0107421875
3,2048,0.7000000000000001,0.00439453125,0.00390625,0.0576171875,0.00830078125
3,2048,0.7000000000000001,0.00146484375,0.0048828125,0.05908203125,0.01806640625
3,2048,0.7000000000000001,0.00244140625,0.00341796875,0.0537109375,0.0146484375
3,2048,0.7000000000000001,0.00244140625,0.00439453125,0.05908203125,0.009765625
3,2048,0.7000000000000001,0.00390625,0.0029296875,0.0546875,0.009765625
3,2048,0.7000000000000001,0.00390625,0.01123046875,0.0517578125,0.00390625
3,2048,0.7000000000000001,0.0029296875,0.00537109375,0.05615234375,0.0166015625
3,2048,0.7000000000000001,0.001953125,0.0048828125,0.06787109375,0.0087890625
3,2048,0.7000000000000001,0.00146484375,0.00634765625,0.05908203125,0.01416015625
3,2048,0.7000000000000001,0.00244140625,0.00439453125,0.05078125,0.0068359375
3,2048,0.7000000000000001,0.0029296875,0.009765625,0.05322265625,0.009765625
3,2048,0.7000000000000001,0.00537109375,0.0029296875,0.0595703125,0.0068359375
3,2048,0.7000000000000001,0.00341796875,0.0029296875,0.05224609375,0.0126953125
3,2048,0.7000000000000001,0.00634765625,0.005859375,0.05322265625,0.0126953125
3,2048,0.7000000000000001,0.00439453125,0.00244140625,0.056640625,0.00732421875
3,2048,0.7000000000000001,0.00146484375,0.00634765625,0.05126953125,0.01025390625
3,2048,0.7000000000000001,0.00439453125,0.0048828125,0.060546875,0.0087890625
3,2048,0.7000000000000001,0.0029296875,0.001953125,0.056640625,0.015625
3,2048,0.7000000000000001,0.005859375,0.0068359375,0.04833984375,0.01025390625
3,2048,0.7000000000000001,0.00390625,0.00390625,0.05859375,0.01318359375
3,2048,0.7000000000000001,0.00439453125,0.00341796875,0.05322265625,0.01318359375
3,2048,0.7000000000000001,0.00732421875,0.00634765625,0.05615234375,0.009765625
3,2048,0.7000000000000001,0.00341796875,0.00439453125,0.056640625,0.0107421875
3,2048,0.7000000000000001,0.0078125,0.009765625,0.0537109375,0.01416015625
3,2048,0.7000000000000001,0.001953125,0.0048828125,0.05810546875,0.01123046875
3,2048,0.7000000000000001,0.00390625,0.0087890625,0.056640625,0.01513671875
3,2048,0.7000000000000001,0.0029296875,0.00537109375,0.0615234375,0.00830078125
3,2048,0.7000000000000001,0.0029296875,0.3291015625,0.04541015625,0.0107421875
3,2048,0.7000000000000001,0.00341796875,0.001953125,0.0576171875,0.0068359375
3,2048,0.7000000000000001,0.00390625,0.0048828125,0.0546875,0.0107421875
3,2048,0.7000000000000001,0.00390625,0.00732421875,0.05029296875,0.0107421875
3,2048,0.7000000000000001,0.00146484375,0.01904296875,0.05224609375,0.0107421875
3,2048,0.7000000000000001,0.00341796875,0.0029296875,0.04638671875,0.005859375
3,2048,0.7000000000000001,0.00341796875,0.00341796875,0.0546875,0.01806640625
3,2048,0.7000000000000001,0.00244140625,9.765625e-4,0.05419921875,0.01318359375
3,2048,0.7000000000000001,0.00390625,0.00537109375,0.052734375,0.0166015625
3,2048,0.7000000000000001,0.00341796875,0.00439453125,0.0478515625,0.015625
3,2048,0.7000000000000001,0.0029296875,0.00341796875,0.05078125,0.01611328125
3,2048,0.7000000000000001,0.00244140625,0.0029296875,0.05029296875,0.01513671875
3,2048,0.7000000000000001,0.00146484375,0.00341796875,0.05517578125,0.01318359375
3,2048,0.7000000000000001,0.00439453125,0.00244140625,0.05029296875,0.01171875
3,2048,0.7000000000000001,4.8828125e-4,0.00244140625,0.05859375,0.013671875
3,2048,0.7000000000000001,0.00390625,0.00732421875,0.05908203125,0.01220703125
3,2048,0.7000000000000001,0.00146484375,0.00244140625,0.05615234375,0.01123046875
3,2048,0.9,4.8828125e-4,9.765625e-4,0.05517578125,0.00537109375
3,2048,0.9,0.00146484375,0.0029296875,0.05224609375,0.009765625
3,2048,0.9,0.001953125,4.8828125e-4,0.05029296875,0.005859375
3,2048,0.9,9.765625e-4,4.8828125e-4,0.0537109375,0.005859375
3,2048,0.9,0.00146484375,0.0078125,0.060546875,0.00830078125
3,2048,0.9,0.001953125,4.8828125e-4,0.0537109375,0.00390625
3,2048,0.9,0.00146484375,0.001953125,0.05224609375,0.00439453125
3,2048,0.9,9.765625e-4,0.00244140625,0.052734375,0.00732421875
3,2048,0.9,0.001953125,4.8828125e-4,0.0537109375,0.00732421875
3,2048,0.9,0,9.765625e-4,0.0498046875,0.0048828125
3,2048,0.9,9.765625e-4,9.765625e-4,0.0517578125,0.0068359375
3,2048,0.9,0.0029296875,0.00439453125,0.05419921875,0.0048828125
3,2048,0.9,4.8828125e-4,9.765625e-4,0.0615234375,0.00732421875
3,2048,0.9,0.001953125,9.765625e-4,0.05322265625,0.005859375
3,2048,0.9,9.765625e-4,9.765625e-4,0.064453125,0.0107421875
3,2048,0.9,0.00244140625,0.00146484375,0.0595703125,0.00830078125
3,2048,0.9,4.8828125e-4,0.00146484375,0.0546875,0.00634765625
3,2048,0.9,0.00146484375,0.02783203125,0.056640625,0.00732421875
3,2048,0.9,0.00244140625,0.00439453125,0.0517578125,0.00634765625
3,2048,0.9,9.765625e-4,0.00244140625,0.0498046875,0.005859375
3,2048,0.9,9.765625e-4,0.00244140625,0.0517578125,0.005859375
3,2048,0.9,4.8828125e-4,9.765625e-4,0.0546875,0.00634765625
3,2048,0.9,0.00146484375,0.001953125,0.05322265625,0.0068359375
3,2048,0.9,0.00341796875,9.765625e-4,0.05322265625,0.0068359375
3,2048,0.9,0.001953125,0,0.05322265625,0.00732421875
3,2048,0.9,4.8828125e-4,0.00244140625,0.0498046875,0.0048828125
3,2048,0.9,0.00146484375,0,0.056640625,0.009765625
3,2048,0.9,9.765625e-4,9.765625e-4,0.048828125,0.0087890625
3,2048,0.9,0.0029296875,4.8828125e-4,0.048828125,0.0078125
3,2048,0.9,0.0029296875,4.8828125e-4,0.0576171875,0.00634765625
3,2048,0.9,0.00146484375,9.765625e-4,0.04833984375,0.005859375
3,2048,0.9,4.8828125e-4,0.314453125,0.05419921875,0.009765625
3,2048,0.9,0.00146484375,0.00146484375,0.05419921875,0.00732421875
3,2048,0.9,9.765625e-4,0.0029296875,0.0546875,0.00537109375
3,2048,0.9,4.8828125e-4,0.00146484375,0.05859375,0.0068359375
3,2048,0.9,0.00146484375,0.0048828125,0.04541015625,0.005859375
3,2048,0.9,9.765625e-4,9.765625e-4,0.0478515625,0.00732421875
3,2048,0.9,4.8828125e-4,0.00390625,0.060546875,0.00732421875
3,2048,0.9,0.00146484375,4.8828125e-4,0.06103515625,0.00732421875
3,2048,0.9,0.00146484375,9.765625e-4,0.052734375,0.30712890625
3,2048,0.9,9.765625e-4,4.8828125e-4,0.05126953125,0.0048828125
3,2048,0.9,0.00146484375,9.765625e-4,0.0517578125,0.00732421875
3,2048,0.9,0.00244140625,9.765625e-4,0.0478515625,0.0107421875
3,2048,0.9,9.765625e-4,0.00244140625,0.05126953125,0.01171875
3,2048,0.9,0.00244140625,0.0029296875,0.052734375,0.01318359375
3,2048,0.9,0.001953125,0.00244140625,0.0576171875,0.0068359375
3,2048,0.9,4.8828125e-4,0.001953125,0.05908203125,0.00732421875
3,2048,0.9,0.00146484375,9.765625e-4,0.05126953125,0.00439453125
3,2048,0.9,4.8828125e-4,4.8828125e-4,0.044921875,0.00390625
3,2048,0.9,0.00244140625,0.00146484375,0.05615234375,0.0068359375
