n,rmse,rmse.mle
64,0.13327827670625053,0.139322640952406
64,0.14981486483721643,0.14606433278862335
64,0.14670242507461273,0.1394118035950756
64,0.12473003673743918,0.13906453612918473
64,0.1387255705029695,0.12004701835754712
64,0.14944881207323002,0.14627468573489721
64,0.16122189869975984,0.1874508515884369
64,0.1296535744166743,0.1325330511839304
64,0.1390564324317538,0.13563386981147854
64,0.16384427240321514,0.14565722007168566
64,0.14343656879939162,0.14207324668318827
64,0.14186223707599863,0.13376523389193862
64,0.14277406238818183,0.13956814484283706
64,0.15432830251750326,0.15514846216541858
64,0.1343061420781523,0.1256284765342463
64,0.1267934543824832,0.14686292346110763
64,0.1390501179491164,0.14048957283709873
64,0.11690564294430333,0.13159149966287967
64,0.1656163565296102,0.16329577909055923
64,0.15269860545291167,0.13395765082211025
64,0.12730580623269383,0.1377743734956098
64,0.17952082334708697,0.1403208388593671
64,0.1554003273545804,0.13279342421151524
64,0.15233353976957348,0.1468408920474145
64,0.1340466908753437,0.15361364122193744
64,0.14233411508675534,0.14855987421941153
64,0.15452194260429755,0.1416091853516216
64,0.1514698085913834,0.1415988998315232
64,0.12840417269615767,0.1437664284281717
64,0.18606684874217802,0.21247976093617654
64,0.15040643298167158,0.16346575761174703
64,0.14555390387714423,0.14081360875257234
64,0.13263315479662055,0.14843395234906176
64,0.12615550034230014,0.130508728223084
64,0.1416881346760259,0.1384485049043007
64,0.16398788626997648,0.1483284043140241
64,0.12960715029554773,0.13411602821814714
64,0.12277043146056328,0.14447144574076137
64,0.15462795994040607,0.158520526934314
64,0.14104523247856424,0.13487700908874087
64,0.14112567707419107,0.11996659862819081
64,0.13093939842506006,0.13785875348992827
64,0.14343309177142305,0.14212360921384792
64,0.2734890609340196,0.12928165266392075
64,0.16977825560140267,0.15288651648265802
64,0.14689079591836227,0.13808447970614668
64,0.14472913960235556,0.1330239569005786
64,0.1393080058166492,0.16022366197454724
64,0.1565886930411951,0.18151231958603256
64,0.13704965298086424,0.1325623717190689
64,0.15336527806589215,0.17943207647587947
64,0.13808428789140692,0.14673223300535465
64,0.15430231334025737,0.13765811173889697
64,0.15651908138494067,0.14406481742087987
64,0.15132387178183418,0.13569850120597907
64,0.15361488766457332,0.13685667253683778
64,0.1413432908092066,0.1450673122357545
64,0.16908475058313097,0.14114726001707414
64,0.1478399108625591,0.14387339780592784
64,0.13753951901453512,0.14110551091303022
64,0.12430102926815685,0.1289259399652826
64,0.133250659511655,0.1428822062049358
64,0.15324397617175126,0.1628427953429353
64,0.1580412498536705,0.13764610569918143
64,0.1557609978347827,0.14881834130529661
64,0.141494703743246,0.16749207759242618
64,0.1417730776890245,0.13125448765146672
64,0.16979735484340736,0.15535307247162825
64,0.14395689789489552,0.13019345048359882
64,0.15161879807159254,0.12904297330242528
64,0.11934790635861521,0.13081898918291432
64,0.13459994937286016,0.130546666584931
64,0.12507246831040625,0.1472703430475019
64,0.15110654087453737,0.1807511973700431
64,0.1467744395990245,0.1457121978340309
64,0.17688587382400722,0.15685680573585242
64,0.1552074674640319,0.14607553591433126
64,0.13927677669460814,0.14233732344344238
64,0.1535332140555158,0.16719052368297524
64,0.12650946403360547,0.12047940526546867
64,0.1399404624176491,0.15019627805835292
64,0.15162558489282466,0.13204317117245998
64,0.13935039999895663,0.14821243630658137
64,0.1505351907099988,0.13570541292130786
64,0.13288530949278984,0.13507999972353288
64,0.1732452920137896,0.16005023968780163
64,0.12440278392267123,0.12089359470313883
64,0.13453412149200392,0.13522261569219826
64,0.15352959389138948,0.151528558580621
64,0.1314597655394987,0.14312991397629918
64,0.12109240853690141,0.12426501680350496
64,0.15942731272058744,0.13051582695598696
64,0.18477043744039606,0.14946967455729637
64,0.11114003516898775,0.11487247126049129
64,0.14232168205302653,0.12782257571202077
64,0.160158534388907,0.13394396023037775
64,0.13891939360902425,0.13527277404285767
64,0.14283244910693624,0.14802066109408735
64,0.14302195472400578,0.14207424469729568
64,0.14586306450480083,0.1521440572570604
128,0.10001687291230651,0.09273540993960575
128,0.10454610195592945,0.10391866218205481
128,0.09912747986568379,0.09785882031790118
128,0.10707952622405581,0.10254573601919598
128,0.09917005889551894,0.09393919190477995
128,0.10266166893922384,0.10946889948423917
128,0.09100143079177633,0.08856316165408754
128,0.08991709695965601,0.09185796546964133
128,0.0986005714187054,0.09411164662639217
128,0.09194449066175592,0.09214194544907449
128,0.11131168116784443,0.0997237909496083
128,0.09358002455199405,0.09067520414922456
128,0.10885045290657466,0.10036484079712364
128,0.09984191517224247,0.08776856033783881
128,0.09874249684923876,0.09148715406094372
128,0.10431568080902592,0.09182408114588636
128,0.10415021840330299,0.09256276071165273
128,0.11364500971398583,0.10103732454724466
128,0.09854729825719201,0.10278521490709858
128,0.10486421865936316,0.09146385169886048
128,0.09368419361529626,0.09165245806747871
128,0.09739833797064791,0.08960517394348846
128,0.09837773451530726,0.09971899723983814
128,0.08998493728623638,0.08856656840506764
128,0.10261773932205404,0.10410197867227879
128,0.08875070170146894,0.08645499154974932
128,0.0937533471932411,0.08787920728662638
128,0.10521556904512036,0.09900086056409356
128,0.10962368355057842,0.09882847006506007
128,0.08938697822434562,0.0971798451185524
128,0.10474118388441987,0.10552196400733055
128,0.10998325996074877,0.11214614431674343
128,0.10189488667653897,0.09770001089564491
128,0.10390948777085009,0.09681983692697065
128,0.10343508646311593,0.0924119022645602
128,0.1171681115994408,0.10643115679266466
128,0.10062018223036151,0.09582783165031508
128,0.10239551279151252,0.09908886475121115
128,0.10525800423040166,0.09906708195345486
128,0.10313570705097937,0.08427932306129635
128,0.11626680427876519,0.11160873916639875
128,0.10703297448224841,0.09243518417685903
128,0.1048097674415822,0.10106005190468163
128,0.10712287435778736,0.09826778035466381
128,0.1020294533378258,0.10115478037380742
128,0.1049442516249366,0.09991285417436044
128,0.11011423529556048,0.0988097593819099
128,0.11027926254264475,0.11338304345029504
128,0.10053486910815546,0.09737369912490336
128,0.10182172893118764,0.10151306272946657
128,0.1013696388914879,0.10193492601490994
128,0.10696313853493837,0.09216112350262436
128,0.10444111846361342,0.0959693800596174
128,0.10265906262494424,0.10531687669171394
128,0.11465806568971683,0.09183141479802831
128,0.10887415086489607,0.09960319714893207
128,0.09731624491325624,0.08696874177521093
128,0.10332449978754774,0.09716065857184646
128,0.10567862172731829,0.10394772005929409
128,0.10677583221462023,0.10348086578753918
128,0.11804641294020547,0.11417694364103423
128,0.10995834342186715,0.10365138946436961
128,0.11485717995554671,0.11532263584455572
128,0.11056397321291114,0.10416768263393274
128,0.1011424930491337,0.08579916821104823
128,0.1071287484086992,0.09332553154473136
128,0.1084083384327494,0.09712114052955555
128,0.1051736503822814,0.09873525688246992
128,0.10907373689379843,0.10033055595411036
128,0.0977330835362842,0.0941500289868717
128,0.10110404769112948,0.08999793865073628
128,0.11255360188358866,0.10973538156169811
128,0.11446840935571222,0.09839164903507153
128,0.12336666701035968,0.11780022751543215
128,0.09618537604694846,0.09548238585770252
128,0.10464685753391169,0.10528917533263443
128,0.09463723324902565,0.09320830173271287
128,0.11600903424697837,0.10401443895319466
128,0.10751574288007291,0.09484336105631498
128,0.0937130179261668,0.08831818363424389
128,0.10374959788145724,0.0989945982822549
128,0.11036838380003641,0.11547227848536697
128,0.0982060988413909,0.08882258931180376
128,0.1037863335680083,0.09932441185652455
128,0.10289599131827969,0.10300329939673256
128,0.11517873779320155,0.09131416762608181
128,0.09552727498140184,0.0949257264504167
128,0.09418562854844914,0.09077214643097518
128,0.10014749098433383,0.10323853919026556
128,0.11386504343836823,0.12703408383888087
128,0.11917869422243257,0.11074177996917964
128,0.10778992029456834,0.10371171196118281
128,0.1096771753482434,0.09546477338259175
128,0.11376446119654768,0.11965138291237533
128,0.10566967483311528,0.1031356884846237
128,0.10562285829367733,0.09769972133622781
128,0.10496452914907854,0.1194629823916331
128,0.11293807693138358,0.11155333955422708
128,0.10032567016157942,0.09683936241471969
128,0.11027486107744552,0.10654339291692325
256,0.07296580620366595,0.0677754509938065
256,0.07127528604111522,0.07059743775125155
256,0.0834397612377418,0.07872031633574376
256,0.0749871573495034,0.06735991312688998
256,0.07731583978129385,0.06972007442639215
256,0.07234069572378538,0.06729572409885504
256,0.07164687407372977,0.06768388172869155
256,0.07354359862809584,0.06922024924234017
256,0.06845258518514839,0.06254168255872188
256,0.07116231250290836,0.06785919259947013
256,0.07533340431433219,0.0765710286515396
256,0.07561890709935504,0.06893309300289271
256,0.07243353339381912,0.07128716456096976
256,0.07017841165250169,0.0634154645075259
256,0.07885015589659972,0.06933270588114253
256,0.07253594316826219,0.06540221486951954
256,0.07332817514206892,0.07119859469065888
256,0.07478060128864121,0.06948496204581302
256,0.07957481001582364,0.07844084531902937
256,0.07684628318154911,0.07311957877087291
256,0.07064062216518836,0.0689707219183009
256,0.07730538021008197,0.07451274677265754
256,0.079452478496505885,0.07691220165898333
256,0.06816696766270612,0.06386381231726625
256,0.06887011775975287,0.06366521057626538
256,0.06810402010131064,0.06552478953426205
256,0.07267612446526987,0.0674220254369391
256,0.07532872020566414,0.07182940546286566
256,0.07055051434007839,0.06669677872344416
256,0.07784579305505024,0.07001918742165836
256,0.07154992760137105,0.07173604151830026
256,0.07019787255910578,0.0632558409077376
256,0.08040711321212987,0.06706058059163326
256,0.07718044859669589,0.07531745572334421
256,0.07769735287197731,0.07336314915886856
256,0.06906354194981493,0.06479712291858811
256,0.07689382966447164,0.07359816712754272
256,0.07145398200101025,0.06788971092333566
256,0.07202767447273019,0.06791015103276671
256,0.07286571769444442,0.06838210069539474
256,0.07879055648659267,0.08536836822825394
256,0.07424779368946609,0.0716736966920699
256,0.07373819674190497,0.07556564030015436
256,0.07868313059631712,0.07195022680263437
256,0.06721134420397992,0.06356178973171636
256,0.06765109113039092,0.0656009048349111
256,0.07514759733144137,0.07678125461718728
256,0.0765252900003503,0.06908690841723085
256,0.07566579211460661,0.07103258729454559
256,0.07429305742339966,0.07032852952961094
256,0.07365958003121423,0.0699771085270513
256,0.07075116953183339,0.07032842603811396
256,0.07241783967467463,0.06790982592092379
256,0.07608022035649839,0.07199894170854804
256,0.07554796066161214,0.06884197680365395
256,0.0760696906072907,0.07138297591142286
256,0.07097189358222585,0.06868754023196798
256,0.0698610162393553,0.06742784802080991
256,0.07386521913299304,0.07299138015760936
256,0.0760774143608382,0.07376434198071179
256,0.07670338032891777,0.0730156573183781
256,0.08344689188995591,0.07655648504527159
256,0.06970336672668402,0.0665425459270042
256,0.07191755079280886,0.0680900552612503
256,0.07374079389311614,0.0735457980528731
256,0.06850620639178753,0.06699378052173363
256,0.08389221776996283,0.0839046893656565
256,0.07267378951742826,0.06735671686297477
256,0.0752061571073345,0.06812770855084355
256,0.0696368284103392,0.06352104796878053
256,0.07047226242046843,0.06865325103133998
256,0.06710731947559094,0.06637972428406697
256,0.07419754807324994,0.0752011762805013
256,0.07297985271041207,0.06773099919235302
256,0.07829881370959378,0.07061466692054122
256,0.07386709406047842,0.06646648065245749
256,0.07846542900685376,0.07840320715564394
256,0.07922185070273763,0.07212441419164504
256,0.07331867411583524,0.07270140741934115
256,0.07379413112605415,0.0709686653838653
256,0.07034152882736928,0.06440802696712594
256,0.07390134358744954,0.06963329632376677
256,0.07796243466036933,0.07873149490114725
256,0.07491954864128504,0.0769494643393988
256,0.07543658210199577,0.07713014193462368
256,0.07476204986893603,0.07250416443198637
256,0.07401555786514312,0.06586673877778142
256,0.07202601354520458,0.07165801361823627
256,0.07046751670705026,0.06845950927951981
256,0.0762334216606158,0.06818116087159876
256,0.07383262832633934,0.07034756508266204
256,0.0705027024286758,0.06613081081074489
256,0.07989608759736867,0.07007916882966268
256,0.07277452535957608,0.07143562390072454
256,0.07306301447095416,0.07836231341918594
256,0.06990150624500371,0.06601286290148482
256,0.07341254939119288,0.07162110567532393
256,0.06893513992723206,0.06826540300727597
256,0.07797223425220391,0.08013273474495924
256,0.07466692973122101,0.06764308273036133
512,0.05225508184218852,0.05116493141775971
512,0.04889867408489444,0.048158198439750534
512,0.0522977733233228,0.05016428325617752
512,0.05093049437267805,0.04869264122570248
512,0.04970505683981357,0.045820738780055735
512,0.05120577046136918,0.04963373966496852
512,0.05038814534176659,0.047676205850324754
512,0.05288833386040429,0.05184617538596075
512,0.04767519714739257,0.046111645421072385
512,0.05217495655181785,0.0496161905430049
512,0.057067982745110185,0.0654589613859001
512,0.052247335842574655,0.04967201135381953
512,0.05300302012831138,0.05095600955154767
512,0.052202222076960826,0.04842157328409076
512,0.04838125761319826,0.05074872118271636
512,0.051401585560264675,0.0491709479160158
512,0.049838447331393664,0.04775627874969311
512,0.052129921508925946,0.05237431022903496
512,0.05189794392595926,0.048922873108766154
512,0.050974156971454174,0.05168227835242745
512,0.053186473500571915,0.05514976651119392
512,0.0524346309172727,0.04732801853430116
512,0.051616094964266446,0.05034200502492199
512,0.054357009487255144,0.05077223565657434
512,0.04876903696446163,0.047317784046699986
512,0.05238569535813493,0.05057846723497144
512,0.05339601132238524,0.04884036574749232
512,0.05654268533102978,0.05601907774329039
512,0.04864377339289424,0.044727171899038264
512,0.05079458940742388,0.048864166111297305
512,0.04992962612883407,0.04607243042783536
512,0.050826464077421564,0.04828292674337469
512,0.05059276931796414,0.0487659277644573
512,0.05376624448463175,0.0497757342538768
512,0.05034114295614113,0.04887077867190879
512,0.054014633217389536,0.05137531309474882
512,0.051133892477040845,0.048922695796558814
512,0.051198745441000115,0.04963441195963632
512,0.05154325907931817,0.04974017655022151
512,0.04992215950861918,0.047669914480548546
512,0.051994545727663606,0.05463645145425182
512,0.05036680652652202,0.048583803448733184
512,0.05117489440232592,0.04839961360919088
512,0.05136250446338223,0.055380248536533346
512,0.05181297841411614,0.05197200066881565
512,0.05452912238650113,0.05813146912932504
512,0.05291424688506125,0.054379565500797936
512,0.051011431191550625,0.04989328114874374
512,0.051349587942615266,0.0498599741820168
512,0.051029673946274876,0.04999906331323435
512,0.05569181743172613,0.05723001054445252
512,0.05182214632514073,0.04837263134817033
512,0.05306618494743453,0.04955727516970074
512,0.053610713751383814,0.051469477318617514
512,0.050354073924895104,0.04748020629989499
512,0.05297605799192274,0.04863405704372845
512,0.05185843694651104,0.05184882343047573
512,0.05310515975061287,0.05164893624073779
512,0.051159396057690716,0.052934179421974766
512,0.05064922269910909,0.04570277542936594
512,0.05040257713045075,0.04783459621079925
512,0.05098538074211615,0.050353616568488635
512,0.04972701788151717,0.04912516319803505
512,0.05409081692256674,0.052528844569492424
512,0.052760140914171985,0.04939072468608185
512,0.051105591672265506,0.04935346383117227
512,0.051852242694613804,0.04898871015569787
512,0.055000315826265564,0.05400894275874643
512,0.04592296336888409,0.04653913988614494
512,0.05242772298828882,0.0499638244771441
512,0.05199920896451268,0.04795827161819479
512,0.05165248092519656,0.051334075579481164
512,0.051595049290356396,0.047266955043633783
512,0.049560522354591983,0.04923409295400376
512,0.049687160792803754,0.048251057045924244
512,0.05121419208413257,0.048991073729221936
512,0.050997544386142415,0.05291594408849921
512,0.05131784817471898,0.04880467268808958
512,0.05211285917025537,0.04893329907979493
512,0.05343038950065029,0.05163919481832608
512,0.049964909404934,0.04927533469226164
512,0.050903326909126405,0.04869292550516521
512,0.05005468596008757,0.04806879454987586
512,0.04864767700162797,0.048783444009345006
512,0.05058072964328728,0.04696851661727517
512,0.05163239325097226,0.04944271317966537
512,0.05330210288043507,0.051059154978204666
512,0.05089558613307611,0.04899606731176999
512,0.051409714067824706,0.051017515760999915
512,0.05302458477733598,0.05364847444237625
512,0.04926969791900356,0.049209028751829004
512,0.05070350439720611,0.049855049161656013
512,0.05254200819614121,0.04991256337590363
512,0.05554385112660531,0.05875489768780604
512,0.04973439834602699,0.04989703683878234
512,0.0511287499607818,0.047428353526445595
512,0.05398775349946592,0.05600673852079936
512,0.05578351024769145,0.051206188061403056
512,0.05104330622127887,0.05059879317328096
512,0.052812026302790444,0.050183769445346
1024,0.03522122867916563,0.034677285114424264
1024,0.03502405116287587,0.03389095613888759
1024,0.03434773016306132,0.03375920703823344
1024,0.03515668647272333,0.03385621094444488
1024,0.03622818872865406,0.03496055763787261
1024,0.03729328625314663,0.03701945951985291
1024,0.03608515342466454,0.03676823104097834
1024,0.03595414896246225,0.03504691180726975
1024,0.033970710777200826,0.03361221989969655
1024,0.03521198774873863,0.034776058280829664
1024,0.034348993347992435,0.03395118889598766
1024,0.03495719554765736,0.03471711526474009
1024,0.03567175153801612,0.03484401459358659
1024,0.03593111070536573,0.034738227997684806
1024,0.03412576544003342,0.033025871747598606
1024,0.03630186360100073,0.03483987495555234
1024,0.03739308546106262,0.042847382329484256
1024,0.03598105986640771,0.0346230207335357
1024,0.037984860723120635,0.040403534567093086
1024,0.03874723849652114,0.03954979569458943
1024,0.0368427381768372,0.03791089947214402
1024,0.036556382266320096,0.03852153029764266
1024,0.0361173354841532,0.03516120484460842
1024,0.035276027466198706,0.03399868234473874
1024,0.03607090478334764,0.03585343530616817
1024,0.035346745403519335,0.03441337313483954
1024,0.03556899334329809,0.03418594324140278
1024,0.03472653712298265,0.03397906311543525
1024,0.03580842583033479,0.034537451038763135
1024,0.04012018141503823,0.04781614482300701
1024,0.03838568031847779,0.04068094694340164
1024,0.03448840048700066,0.03383747207023455
1024,0.0358156982403593,0.03524296349310531
1024,0.0353284682158882,0.036061733972759864
1024,0.03529920650898026,0.03843212166849119
1024,0.0347526016843743,0.03643092920567429
1024,0.03427155775429497,0.03386263187946512
1024,0.042651641633072564,0.04569534162147838
1024,0.03694336467420542,0.03625650351442183
1024,0.035080482609291475,0.03421701423737175
1024,0.03614954712097383,0.03447395149908464
1024,0.03557787678533434,0.034639779074670626
1024,0.03762518516455718,0.03647096517234712
1024,0.03460440236688599,0.03351021344067656
1024,0.038201417076051035,0.041998540729022794
1024,0.03657057006477032,0.038814956636549006
1024,0.0354317601206724,0.03437231206416757
1024,0.03688191055861916,0.038517550978167524
1024,0.03619845128012205,0.037574410620978695
1024,0.036154360803413596,0.034951693496413576
1024,0.03530362380507767,0.03456875753330191
1024,0.0354700783492234,0.034251529134647775
1024,0.03642909071117063,0.0379686176780013
1024,0.035508780402435436,0.03565873167182483
1024,0.034753986584334595,0.03403089729674164
1024,0.03642457319573142,0.03488858013656388
1024,0.03511981130641435,0.03484713044234063
1024,0.035866100096389214,0.03499265811758196
1024,0.03660708723483127,0.03680566682263679
1024,0.034358109963060615,0.033895220418487346
1024,0.036417763008026634,0.035322218052693685
1024,0.03619872131585359,0.034405056985677036
1024,0.0349986240461954,0.03536369684641108
1024,0.03656786414289949,0.03719294312119876
1024,0.034675939981462,0.033502047373847724
1024,0.035203982076104486,0.035093001955764015
1024,0.038387632708175384,0.043115943746038464
1024,0.03622442610225984,0.034746276100103717
1024,0.03561534838951231,0.033898846045359324
1024,0.036556405824706005,0.03666888553875096
1024,0.03406362709551557,0.03307710047294321
1024,0.03516097632162487,0.0342014750033831
1024,0.03726906781325606,0.038246361072783626
1024,0.035922224065304965,0.034441065245848036
1024,0.035207634737507494,0.03396566378502101
1024,0.03565922600228824,0.033535249355889314
1024,0.034573772378237895,0.03388974786442556
1024,0.03653978076707833,0.036086442388883186
1024,0.037697372527877006,0.038213440388054
1024,0.03541428251989617,0.03445466457372791
1024,0.03499269605814451,0.03755277217329999
1024,0.03642147762390053,0.03498753298156541
1024,0.03658502479742714,0.03799680907108096
1024,0.0351511258272544,0.03470950225102277
1024,0.03467203342933689,0.034021431164706385
1024,0.034853677787118856,0.03428072396360116
1024,0.03781931996730267,0.03855061809059781
1024,0.0345929189097043,0.03402288034300479
1024,0.03466645865438149,0.03396174749134543
1024,0.036553550809862605,0.03539608304116214
1024,0.03649898436030758,0.03752461478381632
1024,0.03522659178322513,0.03358266923797104
1024,0.03608306428579272,0.038572692362493895
1024,0.0345058102115866,0.033566277547048225
1024,0.03539175159353207,0.03362320489876257
1024,0.034831636339555855,0.034385548368472754
1024,0.03411709446239006,0.034757883190785925
1024,0.03602618704609768,0.03688698629291668
1024,0.03673314341314343,0.039357952618897386
1024,0.03480268237092832,0.03365509761432681
